Likelihood,OffsetType,PhiPrior,Regression,Roach,Senior,Treatment,elpd,RandomEffects
NegBinomial,log,normal,glm,sqrt,no,no,-2.873839709e+30,
NegBinomial,log,normal,glm,sqrt,no,yes,-2.664405278e+29,
NegBinomial,log,normal,glm,sqrt,yes,no,-1.105371683e+30,
NegBinomial,log,normal,glm,sqrt,yes,yes,-3.83683482e+29,
Poisson,identity,,glm,identity,no,no,-4449717.02186598,no
Poisson,identity,,glm,identity,no,yes,-4108411.88453109,no
Poisson,identity,,glm,identity,yes,no,-4353577.95890777,no
Poisson,identity,,glm,identity,yes,yes,-4109790.87588076,no
Poisson,identity,,glm,no,no,yes,-3488538.13162666,no
Poisson,identity,,glm,no,yes,no,-4155804.86816874,no
Poisson,identity,,glm,no,yes,yes,-3518018.38972167,no
Poisson,identity,,glm,sqrt,no,no,-4104049.0911004,no
Poisson,identity,,glm,sqrt,no,yes,-4323732.54688323,no
Poisson,identity,,glm,sqrt,yes,no,-4294809.62504604,no
Poisson,identity,,glm,sqrt,yes,yes,-4358462.35023429,no
Poisson,identity,,glm,identity,no,no,-8311816.51254774,yes
Poisson,identity,,glm,identity,no,yes,-8834548.71091253,yes
Poisson,identity,,glm,identity,yes,no,-9006201.83601147,yes
Poisson,identity,,glm,identity,yes,yes,-9023548.67094582,yes
Poisson,identity,,glm,no,no,no,-8353275.77795275,yes
Poisson,identity,,glm,no,no,yes,-8668584.79171507,yes
Poisson,identity,,glm,no,yes,no,-8831608.42588385,yes
Poisson,identity,,glm,no,yes,yes,-8949564.95534642,yes
Poisson,identity,,glm,sqrt,no,no,-8299482.55390966,yes
Poisson,identity,,glm,sqrt,no,yes,-8861837.42205457,yes
Poisson,identity,,glm,sqrt,yes,no,-8895855.40238863,yes
Poisson,identity,,glm,sqrt,yes,yes,-9133041.26893658,yes
Poisson,log,,glm,identity,no,no,-5806768.42789003,no
Poisson,log,,glm,identity,no,yes,-4677882.35234932,no
Poisson,log,,glm,identity,yes,no,-5159621.73009443,no
Poisson,log,,glm,identity,yes,yes,-4591177.8475937,no
Poisson,log,,glm,no,no,yes,-4023304.22398634,no
Poisson,log,,glm,no,yes,no,-5209924.47530365,no
Poisson,log,,glm,no,yes,yes,-4009839.24889643,no
Poisson,log,,glm,sqrt,no,no,-5075745.88721257,no
Poisson,log,,glm,sqrt,no,yes,-4895470.90332615,no
Poisson,log,,glm,sqrt,yes,no,-4919220.00747565,no
Poisson,log,,glm,sqrt,yes,yes,-4834552.27589766,no
Poisson,log,,glm,identity,no,no,-8709396.93540791,yes
Poisson,log,,glm,identity,no,yes,-8894288.2431318,yes
Poisson,log,,glm,identity,yes,no,-8906591.44123111,yes
Poisson,log,,glm,identity,yes,yes,-9150180.41319338,yes
Poisson,log,,glm,no,no,no,-8769770.22548375,yes
Poisson,log,,glm,no,no,yes,-8745912.44654967,yes
Poisson,log,,glm,no,yes,no,-8825991.88615349,yes
Poisson,log,,glm,no,yes,yes,-8901520.76074608,yes
Poisson,log,,glm,sqrt,no,no,-8510746.93459638,yes
Poisson,log,,glm,sqrt,no,yes,-9112105.26498401,yes
Poisson,log,,glm,sqrt,yes,no,-8995079.90780736,yes
Poisson,log,,glm,sqrt,yes,yes,-9193132.58758593,yes
